variable,q10_estimate,q10_std.error,q10_ci.low,q10_ci.upp,q10_p.value,q25_estimate,q25_std.error,q25_ci.low,q25_ci.upp,q25_p.value,q50_estimate,q50_std.error,q50_ci.low,q50_ci.upp,q50_p.value,q75_estimate,q75_std.error,q75_ci.low,q75_ci.upp,q75_p.value,q90_estimate,q90_std.error,q90_ci.low,q90_ci.upp,q90_p.value
(Intercept),3.914,0.157,3.598,4.231,0,4.371,0.065,4.239,4.502,0,4.647,0.08,4.487,4.808,0,4.744,0.085,4.572,4.915,0,5.058,0.099,4.859,5.258,0
exp_imp,0.089,0.02,0.047,0.13,0,0.087,0.014,0.058,0.116,0,0.065,0.012,0.041,0.088,0,0.081,0.013,0.054,0.108,0,0.024,0.013,-0.002,0.051,0.073
I(exp_imp^2),-0.005,0.002,-0.009,-0.001,0.007,-0.006,0.001,-0.008,-0.003,0,-0.004,0.001,-0.006,-0.002,0,-0.004,0.001,-0.006,-0.002,0,-0,0.001,-0.002,0.002,0.925
areaUrban-Type Settlement,0.088,0.098,-0.108,0.284,0.374,0.005,0.07,-0.135,0.145,0.946,0.041,0.072,-0.103,0.186,0.566,0.122,0.078,-0.035,0.279,0.125,0.144,0.08,-0.017,0.304,0.078
areaCity,0.257,0.099,0.059,0.455,0.012,0.05,0.071,-0.092,0.192,0.484,0.135,0.06,0.015,0.256,0.028,0.236,0.056,0.124,0.348,0,0.289,0.066,0.156,0.423,0
areaRegional Center,0.258,0.202,-0.148,0.664,0.207,0.068,0.186,-0.305,0.441,0.714,0.19,0.182,-0.176,0.556,0.302,0.26,0.185,-0.112,0.633,0.167,0.303,0.185,-0.068,0.675,0.107
sexMale,0.461,0.072,0.317,0.605,0,0.288,0.032,0.225,0.352,0,0.242,0.031,0.179,0.305,0,0.291,0.03,0.231,0.35,0,0.257,0.041,0.174,0.34,0
marital_status2. Married/Civil partnership,-0.062,0.057,-0.177,0.053,0.282,-0.051,0.024,-0.099,-0.004,0.036,-0.004,0.024,-0.053,0.045,0.868,-0.001,0.027,-0.055,0.052,0.958,0.011,0.03,-0.05,0.072,0.712
marital_status3. Divorced/Separated/Widowed,-0.055,0.092,-0.24,0.131,0.556,-0.022,0.075,-0.172,0.128,0.773,0.023,0.063,-0.103,0.149,0.716,0.025,0.077,-0.129,0.179,0.747,0.077,0.1,-0.124,0.278,0.447
O,0.057,0.024,0.01,0.105,0.019,0.059,0.018,0.022,0.096,0.002,0.055,0.017,0.021,0.089,0.002,0.073,0.017,0.04,0.107,0,0.076,0.023,0.029,0.123,0.002
C,0.018,0.029,-0.039,0.076,0.521,0.016,0.017,-0.018,0.05,0.361,0.01,0.013,-0.016,0.037,0.441,-0.012,0.014,-0.041,0.017,0.413,-0.021,0.016,-0.054,0.012,0.205
E,0.006,0.026,-0.047,0.059,0.815,0.001,0.012,-0.023,0.025,0.928,0.01,0.012,-0.014,0.033,0.405,0.016,0.013,-0.01,0.042,0.231,0.007,0.014,-0.02,0.035,0.586
A,0.036,0.024,-0.012,0.084,0.139,0.009,0.016,-0.023,0.042,0.567,0.012,0.014,-0.015,0.039,0.388,0.002,0.016,-0.031,0.034,0.924,0.005,0.018,-0.032,0.041,0.79
ES,0.028,0.023,-0.018,0.074,0.225,0.02,0.014,-0.008,0.048,0.158,0.009,0.014,-0.019,0.036,0.532,-0.005,0.014,-0.034,0.023,0.702,-0.021,0.018,-0.057,0.015,0.246
